ID,Kategori,Model,Segment,Kullanım Amacı,İşlemci,RAM,Depolama,GPU,Ekran,İşletim Sistemi,Fiyat (TL),Batarya (mAh),Kamera (MP),5G,NFC,Su Geçirmezlik,GPS,Kulaklık Tipi,Sürücü Boyutu,Frekans Yanıtı,Gürültü Engelleme,Mikrofon,Bağlantı Türü,Pil Ömrü,Pil Ömrü (gün)
27297,Bilgisayar,Huawei MateBook X Pro i7,Üst Segment,İçerik Üretimi,Intel Core i7-1360P,16GB,1TB SSD,Intel Iris Xe Graphics,14.2 inç 3.1K OLED 90Hz,Windows 11 Pro,61937,,,,,,,,,,,,,,
27298,Akıllı Saat / Bileklik,Huawei Watch Fit 3,Orta Segment,Fitness & Spor,—,,,,,RTOS,4494,,,,,5ATM,Evet,,,,,,,,10
27299,Akıllı Saat / Bileklik,Huawei Watch GT 5 Pro 46mm,Üst Segment,Sağlık Takibi,Kirin A2,,,,,HarmonyOS Watch,11080,,,,,5ATM,Evet,,,,,,,,14
27300,Telefon,Redmi Note 14 128GB,Orta Segment,Bütçe Dostu,Snapdragon 685,8GB,128GB,,6.67 inç IPS LCD 90Hz,Android 14,9072,5500,108+2+2MP,Hayır,Hayır,IP54,,,,,,,,,
27301,Akıllı Saat / Bileklik,Suunto Race S,Premium & Spor,Koşu & Antrenman,—,,,,,Suunto OS,17076,,,,,10ATM,Evet,,,,,,,,40
27302,Telefon,Samsung Galaxy S25 128GB,Amiral Gemisi,Günlük Kullanım,Snapdragon 8 Elite,12GB,128GB,,6.2 inç Dynamic AMOLED 2X 120Hz,Android 15,45794,4000,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
27303,Bilgisayar,Acer Swift Go 14 Ryzen 5,Orta Segment,Uzaktan Çalışma,AMD Ryzen 5 7530U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,22949,,,,,,,,,,,,,,
27304,Bilgisayar,Acer Nitro 5 RTX 4060,Oyuncu,Oyun,Intel Core i5-13420H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,37163,,,,,,,,,,,,,,
27305,Telefon,iPhone 17 Pro 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,146324,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27306,Bilgisayar,MacBook Pro M4 Pro 14 24GB,İş İstasyonu,Yazılım Geliştirme,Apple M4 Pro,24GB,512GB SSD,Apple M4 Pro GPU 20-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,93458,,,,,,,,,,,,,,
27307,Akıllı Saat / Bileklik,Amazfit T-Rex 3,Üst Segment,Outdoor & Doğa,—,,,,,Zepp OS,10193,,,,,10ATM,Evet,,,,,,,,20
27308,Telefon,POCO F7 Ultra 512GB,Üst Segment,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.67 inç AMOLED 120Hz,Android 15,38601,5300,50+50+8MP,Evet,Evet,IP64,,,,,,,,,
27309,Telefon,Samsung Galaxy S26 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite Gen 2,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,86291,5500,200+50+12+12MP,Evet,Evet,IP68,,,,,,,,,
27310,Kulaklık,Huawei Freebuds 5i,Orta Segment,Günlük Kullanım,,,,,,,2955,,,,,,,TWS,10mm,20Hz-20kHz,Hibrit ANC,3 mikrofon,Bluetooth 5.2,7.5 saat (kılıfla 28),
27311,Telefon,iPhone 17 Pro Max 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,162315,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27312,Akıllı Saat / Bileklik,Suunto Race S,Premium & Spor,Koşu & Antrenman,—,,,,,Suunto OS,17299,,,,,10ATM,Evet,,,,,,,,40
27313,Akıllı Saat / Bileklik,Xiaomi Watch S4 Sport,Orta Segment,Günlük Kullanım,Snapdragon W5,,,,,RTOS,5571,,,,,5ATM,Evet,,,,,,,,15
27314,Telefon,iPhone 16 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Apple A18 Pro,8GB,128GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,100199,3582,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27315,Akıllı Saat / Bileklik,Garmin Forerunner 965,Premium & Spor,Koşu & Antrenman,Garmin özel,,,,,Garmin OS,22424,,,,,5ATM,Evet,,,,,,,,23
27316,Akıllı Saat / Bileklik,Samsung Galaxy Watch Ultra LTE,Premium & Spor,Outdoor & Doğa,Exynos W1000,,,,,Wear OS 5,26053,,,,,10ATM,Evet,,,,,,,,48
27317,Telefon,iPhone 16 Plus 128GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,128GB,,6.7 inç Super Retina XDR OLED 60Hz,iOS 18,81462,4674,48+12MP,Evet,Evet,IP68,,,,,,,,,
27318,Telefon,Google Pixel 9 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,12GB,128GB,,6.3 inç OLED 120Hz,Android 15,42431,4700,50+10.5MP,Evet,Evet,IP68,,,,,,,,,
27319,Akıllı Saat / Bileklik,Polar Grit X2 Pro,Premium & Spor,Outdoor & Doğa,—,,,,,Polar OS,18457,,,,,10ATM,Evet,,,,,,,,140
27320,Telefon,POCO X7 Pro 256GB,Orta Segment,Oyun,MediaTek Dimensity 8400 Ultra,8GB,256GB,,6.67 inç AMOLED 120Hz,Android 15,15842,5900,50+8+2MP,Evet,Evet,IP64,,,,,,,,,
27321,Bilgisayar,MacBook Pro M4 14 16GB,İş İstasyonu,Yazılım Geliştirme,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,69207,,,,,,,,,,,,,,
27322,Tablet,Apple iPad Air M2 11 Wi-Fi 128GB,Üst Segment,Dijital Not Alma,Apple M2,8GB,128GB,,11 inç Liquid Retina IPS 60Hz,iPadOS 18,25821,,,Hayır,Evet,IP68,,,,,,,,,
27323,Telefon,Google Pixel 9 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,16GB,128GB,,6.3 inç LTPO OLED 120Hz,Android 15,56061,4700,50+48+48MP,Evet,Evet,IP68,,,,,,,,,
27324,Tablet,Xiaomi Pad 7 Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Snapdragon 7s Gen 3,8GB,128GB,,11.2 inç IPS 144Hz,Android 15,10868,,,Hayır,Hayır,Yok,,,,,,,,,
27325,Tablet,Samsung Galaxy Tab S9 FE Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,13922,,,Hayır,Evet,IP68,,,,,,,,,
27326,Telefon,Asus ROG Phone 9 Pro 512GB,Amiral Gemisi,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.78 inç AMOLED 185Hz,Android 15,56474,5800,50+13+5MP,Evet,Evet,IP54,,,,,,,,,
27327,Kulaklık,Audio-Technica ATH-M50x,Üst Segment,Stüdyo Kayıt,,,,,,,6444,,,,,,,Kulak Üstü Kablolu,45mm,15Hz-28kHz,Pasif Yalıtım,—,Kablolu 3.5mm/6.35mm,—,
27328,Telefon,Samsung Galaxy A56 256GB,Üst Segment,Günlük Kullanım,Exynos 1580,8GB,256GB,,6.7 inç Super AMOLED 120Hz,Android 15,23852,5000,50+12+5MP,Evet,Evet,IP67,,,,,,,,,
27329,Bilgisayar,MSI Modern 15 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,21931,,,,,,,,,,,,,,
27330,Bilgisayar,Huawei MateBook X Pro i7,Üst Segment,İçerik Üretimi,Intel Core i7-1360P,16GB,1TB SSD,Intel Iris Xe Graphics,14.2 inç 3.1K OLED 90Hz,Windows 11 Pro,63780,,,,,,,,,,,,,,
27331,Kulaklık,Nothing Ear (2),Orta Segment,Günlük Kullanım,,,,,,,3449,,,,,,,TWS,11.6mm,20Hz-20kHz,Hibrit ANC,3 mikrofon,Bluetooth 5.3,6.3 saat (kılıfla 36),
27332,Tablet,Apple iPad Pro M4 11 Wi-Fi 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,49968,,,Hayır,Evet,IP68,,,,,,,,,
27333,Kulaklık,Apple AirPods Max 2 USB-C,Premium & Hi-Fi,Müzik Dinleme,,,,,,,25946,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Aktif ANC,8 mikrofon,Bluetooth 5.3,20 saat,
27334,Tablet,Huawei MatePad Pro 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Kirin 9000s,8GB,256GB,,11 inç OLED 144Hz,HarmonyOS 4,24961,,,Hayır,Evet,IP54,,,,,,,,,
27335,Akıllı Saat / Bileklik,Samsung Galaxy Watch 8 44mm LTE,Üst Segment,Fitness & Spor,Exynos W1000,,,,,Wear OS 5,12726,,,,,5ATM,Evet,,,,,,,,40
27336,Tablet,Samsung Galaxy Tab S9 Wi-Fi 128GB,Üst Segment,Medya Tüketimi,Snapdragon 8 Gen 2,8GB,128GB,,11 inç Dynamic AMOLED 2X 120Hz,Android 14,23636,,,Hayır,Evet,IP68,,,,,,,,,
27337,Kulaklık,Nothing Ear (open),Orta Segment,Günlük Kullanım,,,,,,,2977,,,,,,,Açık Tasarım TWS,16.5mm,20Hz-20kHz,Yok,3 mikrofon,Bluetooth 5.3,8 saat (kılıfla 30),
27338,Akıllı Saat / Bileklik,Garmin Fenix 8 AMOLED 51mm,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,41102,,,,,10ATM,Evet,,,,,,,,29
27339,Telefon,Samsung Galaxy S25+ 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.7 inç Dynamic AMOLED 2X 120Hz,Android 15,65059,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
27340,Akıllı Saat / Bileklik,Garmin Fenix 8 Solar 47mm,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,37676,,,,,10ATM,Evet,,,,,,,,16
27341,Telefon,Google Pixel 9a 128GB,Üst Segment,Günlük Kullanım,Google Tensor G4,8GB,128GB,,6.1 inç OLED 120Hz,Android 15,25811,5100,48+13MP,Evet,Evet,IP67,,,,,,,,,
27342,Bilgisayar,Acer Nitro 5 RTX 4060,Oyuncu,Oyun,Intel Core i5-13420H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,36959,,,,,,,,,,,,,,
27343,Akıllı Saat / Bileklik,Amazfit GTR 5,Orta Segment,Fitness & Spor,—,,,,,Zepp OS,4577,,,,,5ATM,Evet,,,,,,,,14
27344,Bilgisayar,Asus TUF Gaming F15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,42238,,,,,,,,,,,,,,
27345,Akıllı Saat / Bileklik,Polar Grit X2 Pro,Premium & Spor,Outdoor & Doğa,—,,,,,Polar OS,18258,,,,,10ATM,Evet,,,,,,,,140
27346,Akıllı Saat / Bileklik,Polar Grit X2 Pro,Premium & Spor,Outdoor & Doğa,—,,,,,Polar OS,18116,,,,,10ATM,Evet,,,,,,,,140
27347,Akıllı Saat / Bileklik,Amazfit Balance 2,Orta Segment,Sağlık Takibi,—,,,,,Zepp OS,5606,,,,,5ATM,Evet,,,,,,,,14
27348,Telefon,iPhone Air 1TB,Amiral Gemisi,İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,136095,2830,48MP,Evet,Evet,IP68,,,,,,,,,
27349,Telefon,Samsung Galaxy S25 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,74548,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
27350,Tablet,Apple iPad Pro M4 13 Wi-Fi 256GB,Pro,3D Modelleme,Apple M4,16GB,256GB,,13 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,69069,,,Hayır,Evet,IP68,,,,,,,,,
27351,Akıllı Saat / Bileklik,Apple Watch Ultra 2 49mm Titanium,Premium & Spor,Outdoor & Doğa,Apple S9,,,,,watchOS 11,48624,,,,,10ATM,Evet,,,,,,,,60
27352,Telefon,iPhone 17 Pro 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19 Pro,8GB,256GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,120672,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27353,Akıllı Saat / Bileklik,Suunto Race S,Premium & Spor,Koşu & Antrenman,—,,,,,Suunto OS,16891,,,,,10ATM,Evet,,,,,,,,40
27354,Tablet,Apple iPad Air M2 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Apple M2,8GB,256GB,,11 inç Liquid Retina IPS 60Hz,iPadOS 18,29693,,,Hayır,Evet,IP68,,,,,,,,,
27355,Akıllı Saat / Bileklik,Huawei Watch 4 Pro LTE,Üst Segment,Sağlık Takibi,Kirin A2,,,,,HarmonyOS Watch,15999,,,,,5ATM,Evet,,,,,,,,21
27356,Tablet,Apple iPad Air M2 13 Wi-Fi 128GB,Üst Segment,Profesyonel Tasarım,Apple M2,8GB,128GB,,13 inç Liquid Retina IPS 60Hz,iPadOS 18,35010,,,Hayır,Evet,IP68,,,,,,,,,
27357,Bilgisayar,Lenovo Legion 5 Pro RTX 4070,Oyuncu,Oyun & Akış,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4070 8GB,16 inç QHD IPS 165Hz,Windows 11 Home,57741,,,,,,,,,,,,,,
27358,Kulaklık,Beyerdynamic DT 990 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5609,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Açık Arka,—,Kablolu 3.5mm/6.35mm,—,
27359,Bilgisayar,LG Gram 16 i7,Üst Segment,İçerik Üretimi,Intel Core i7-1360P,16GB,1TB SSD,Intel Iris Xe Graphics,16 inç WQXGA IPS 60Hz,Windows 11 Home,57221,,,,,,,,,,,,,,
27360,Akıllı Saat / Bileklik,Garmin Forerunner 965,Premium & Spor,Koşu & Antrenman,Garmin özel,,,,,Garmin OS,21782,,,,,5ATM,Evet,,,,,,,,23
27361,Tablet,Apple iPad 10. nesil Wi-Fi 64GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,64GB,,10.9 inç IPS 60Hz,iPadOS 18,14851,,,Hayır,Evet,IP68,,,,,,,,,
27362,Telefon,Samsung Galaxy S24 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Gen 3,12GB,256GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,68722,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
27363,Tablet,Apple iPad Pro M4 11 5G 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,57868,,,Evet,Evet,IP68,,,,,,,,,
27364,Telefon,Xiaomi 14T Pro 512GB,Üst Segment,Fotoğrafçılık,MediaTek Dimensity 9300+,12GB,512GB,,6.67 inç AMOLED 144Hz,Android 15,29997,5000,50+50+12MP,Evet,Evet,IP68,,,,,,,,,
27365,Kulaklık,Samsung Galaxy Buds 4,Orta Segment,Günlük Kullanım,,,,,,,3997,,,,,,,TWS,10mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.4,6 saat (kılıfla 26),
27366,Bilgisayar,LG Gram 14 i5,Üst Segment,Uzaktan Çalışma,Intel Core i5-1340P,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,40697,,,,,,,,,,,,,,
27367,Telefon,Google Pixel 9 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,16GB,128GB,,6.3 inç LTPO OLED 120Hz,Android 15,54892,4700,50+48+48MP,Evet,Evet,IP68,,,,,,,,,
27368,Bilgisayar,MacBook Air M4 15 16GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,16GB,256GB SSD,Apple M4 GPU 10-core,15.3 inç Liquid Retina 60Hz,macOS Sequoia,55170,,,,,,,,,,,,,,
27369,Telefon,Redmi Note 14 Pro 256GB,Orta Segment,Günlük Kullanım,MediaTek Dimensity 7300 Ultra,8GB,256GB,,6.67 inç AMOLED 120Hz,Android 14,14132,5500,108+8+2MP,Evet,Hayır,IP54,,,,,,,,,
27370,Telefon,Samsung Galaxy S24 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Gen 3,12GB,512GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,76922,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
27371,Bilgisayar,Acer Nitro 5 RTX 4060,Oyuncu,Oyun,Intel Core i5-13420H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,37481,,,,,,,,,,,,,,
27372,Telefon,Xiaomi 15 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.36 inç AMOLED 120Hz,Android 15,45380,5240,50+50+12MP,Evet,Evet,IP68,,,,,,,,,
27373,Tablet,Huawei MatePad Pro 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Kirin 9000s,8GB,256GB,,11 inç OLED 144Hz,HarmonyOS 4,24763,,,Hayır,Evet,IP54,,,,,,,,,
27374,Akıllı Saat / Bileklik,Huawei Watch 4 Pro LTE,Üst Segment,Sağlık Takibi,Kirin A2,,,,,HarmonyOS Watch,15999,,,,,5ATM,Evet,,,,,,,,21
27375,Telefon,iPhone Air 1TB,Amiral Gemisi,İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,138140,2830,48MP,Evet,Evet,IP68,,,,,,,,,
27376,Bilgisayar,Dell XPS 15 i7 RTX 4070,İş İstasyonu,İçerik Üretimi,Intel Core i7-13700H,32GB,1TB SSD,NVIDIA RTX 4070 8GB,15.6 inç 3.5K OLED 60Hz,Windows 11 Pro,87349,,,,,,,,,,,,,,
27377,Bilgisayar,Huawei MateBook X Pro i7,Üst Segment,İçerik Üretimi,Intel Core i7-1360P,16GB,1TB SSD,Intel Iris Xe Graphics,14.2 inç 3.1K OLED 90Hz,Windows 11 Pro,62426,,,,,,,,,,,,,,
27378,Bilgisayar,MacBook Pro M4 Max 16 48GB,İş İstasyonu,3D Modelleme,Apple M4 Max,48GB,1TB SSD,Apple M4 Max GPU 40-core,16.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,166340,,,,,,,,,,,,,,
27379,Bilgisayar,Asus VivoBook 16X i5,Orta Segment,Multitasking,Intel Core i5-13500H,16GB,512GB SSD,NVIDIA RTX 2050 4GB,16 inç WUXGA IPS 60Hz,Windows 11 Home,25477,,,,,,,,,,,,,,
27380,Tablet,Huawei MatePad 11.5 S Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Kirin 9000W,8GB,128GB,,11.5 inç IPS 144Hz,HarmonyOS 4,14671,,,Hayır,Hayır,IP54,,,,,,,,,
27381,Kulaklık,Apple AirPods 4,Orta Segment,Günlük Kullanım,,,,,,,6439,,,,,,,TWS,—,20Hz-20kHz,Pasif,2 mikrofon,Bluetooth 5.3,5 saat (kılıfla 30),
27382,Akıllı Saat / Bileklik,Samsung Galaxy Fit 3,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2455,,,,,5ATM,Hayır,,,,,,,,13
27383,Kulaklık,Sony WF-1000XM5,Üst Segment,Müzik Dinleme,,,,,,,10024,,,,,,,TWS,8.4mm,20Hz-20kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.3,8 saat (kılıfla 24),
27384,Bilgisayar,Asus ZenBook 14 OLED i7,Üst Segment,Yazılım Geliştirme,Intel Core i7-1355U,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2.8K OLED 90Hz,Windows 11 Home,34314,,,,,,,,,,,,,,
27385,Telefon,Samsung Galaxy A17 5G 256GB,Giriş Seviyesi,Bütçe Dostu,Exynos 1280,8GB,256GB,,6.5 inç Super AMOLED 90Hz,Android 15,13858,5000,50+5+2MP,Evet,Hayır,Yok,,,,,,,,,
27386,Telefon,iPhone 17 Pro Max 256GB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,256GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,133615,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27387,Telefon,POCO F7 Ultra 512GB,Üst Segment,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.67 inç AMOLED 120Hz,Android 15,38458,5300,50+50+8MP,Evet,Evet,IP64,,,,,,,,,
27388,Telefon,iPhone 16 256GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,256GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,79929,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
27389,Tablet,Samsung Galaxy Tab S9 FE 5G 128GB,Orta Segment,Uzaktan Eğitim,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,16561,,,Evet,Evet,IP68,,,,,,,,,
27390,Tablet,Samsung Galaxy Tab S9 FE 5G 128GB,Orta Segment,Uzaktan Eğitim,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,16659,,,Evet,Evet,IP68,,,,,,,,,
27391,Telefon,iPhone 16 256GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,256GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,81210,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
27392,Telefon,Samsung Galaxy A56 256GB,Üst Segment,Günlük Kullanım,Exynos 1580,8GB,256GB,,6.7 inç Super AMOLED 120Hz,Android 15,23842,5000,50+12+5MP,Evet,Evet,IP67,,,,,,,,,
27393,Bilgisayar,Samsung Galaxy Book4 15 i5,Orta Segment,Günlük Kullanım,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,22713,,,,,,,,,,,,,,
27394,Telefon,iPhone 17 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,256GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,86215,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
27395,Akıllı Saat / Bileklik,Samsung Galaxy Fit 3,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2496,,,,,5ATM,Hayır,,,,,,,,13
27396,Tablet,Samsung Galaxy Tab S9 FE 5G 128GB,Orta Segment,Uzaktan Eğitim,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,16132,,,Evet,Evet,IP68,,,,,,,,,
27397,Telefon,Redmi Note 14 Pro+ 5G 256GB,Orta Segment,Fotoğrafçılık,MediaTek Dimensity 9200+,12GB,256GB,,6.67 inç AMOLED 120Hz,Android 14,19865,5110,200+8+2MP,Evet,Evet,IP68,,,,,,,,,
27398,Kulaklık,Samsung Galaxy Buds 4,Orta Segment,Günlük Kullanım,,,,,,,4050,,,,,,,TWS,10mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.4,6 saat (kılıfla 26),
27399,Telefon,Samsung Galaxy S24 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Gen 3,12GB,512GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,76273,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
27400,Akıllı Saat / Bileklik,Amazfit T-Rex 3,Üst Segment,Outdoor & Doğa,—,,,,,Zepp OS,9957,,,,,10ATM,Evet,,,,,,,,20
27401,Akıllı Saat / Bileklik,Xiaomi Smart Band 9 Pro,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2173,,,,,5ATM,Evet,,,,,,,,21
27402,Akıllı Saat / Bileklik,Samsung Galaxy Watch 8 44mm LTE,Üst Segment,Fitness & Spor,Exynos W1000,,,,,Wear OS 5,12914,,,,,5ATM,Evet,,,,,,,,40
27403,Bilgisayar,Asus VivoBook 15 i3,Bütçe,Öğrenci,Intel Core i3-1315U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,12454,,,,,,,,,,,,,,
27404,Akıllı Saat / Bileklik,Xiaomi Smart Band 9 Pro,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2198,,,,,5ATM,Evet,,,,,,,,21
27405,Tablet,Samsung Galaxy Tab S9 FE Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,13917,,,Hayır,Evet,IP68,,,,,,,,,
27406,Bilgisayar,Asus ROG Strix G16 RTX 4070,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,1TB SSD,NVIDIA RTX 4070 8GB,16 inç QHD+ IPS 240Hz,Windows 11 Home,62453,,,,,,,,,,,,,,
27407,Akıllı Saat / Bileklik,Polar Vantage V3,Premium & Spor,Profesyonel Spor,—,,,,,Polar OS,21863,,,,,10ATM,Evet,,,,,,,,43
27408,Telefon,Xiaomi 15 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.36 inç AMOLED 120Hz,Android 15,45200,5240,50+50+12MP,Evet,Evet,IP68,,,,,,,,,
27409,Tablet,Huawei MatePad Pro 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Kirin 9000s,8GB,256GB,,11 inç OLED 144Hz,HarmonyOS 4,25061,,,Hayır,Evet,IP54,,,,,,,,,
27410,Kulaklık,JBL Tour One M2,Üst Segment,Müzik Dinleme,,,,,,,8039,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.3,30 saat,
27411,Telefon,iPhone 17 Pro 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,149965,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
27412,Telefon,Redmi 14C 128GB,Giriş Seviyesi,Bütçe Dostu,MediaTek Helio G91 Ultra,4GB,128GB,,6.88 inç IPS LCD 90Hz,Android 14,5518,5160,50+0.08MP,Hayır,Hayır,Yok,,,,,,,,,
27413,Akıllı Saat / Bileklik,Samsung Galaxy Watch 8 40mm LTE,Üst Segment,Fitness & Spor,Exynos W1000,,,,,Wear OS 5,11523,,,,,5ATM,Evet,,,,,,,,40
27414,Akıllı Saat / Bileklik,Samsung Galaxy Watch 8 44mm LTE,Üst Segment,Fitness & Spor,Exynos W1000,,,,,Wear OS 5,12875,,,,,5ATM,Evet,,,,,,,,40
27415,Telefon,OnePlus 13 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.82 inç LTPO AMOLED 120Hz,Android 15,39251,6000,50+50+50MP,Evet,Evet,IP65,,,,,,,,,
